user_id,company_name,website,bio
200,MoneyMindset 0,https://brand0.example.com,Trusted by millions worldwide.
201,WanderWell 1,https://brand1.example.com,Leading brand in innovative products.
202,GlowUp Cosmetics 2,https://brand2.example.com,Leading brand in innovative products.
203,MoneyMindset 3,https://brand3.example.com,Eco-friendly and customer-focused.
204,GlowUp Cosmetics 4,https://brand4.example.com,Join us in redefining the future.
205,SavvyStyle 5,https://brand5.example.com,Join us in redefining the future.
206,WanderWell 6,https://brand6.example.com,Driven by values and vision.
207,TechNova 7,https://brand7.example.com,Leading brand in innovative products.
208,WanderWell 8,https://brand8.example.com,Leading brand in innovative products.
209,MoneyMindset 9,https://brand9.example.com,Trusted by millions worldwide.
210,WanderWell 10,https://brand10.example.com,Passionate about quality and community.
211,WanderWell 11,https://brand11.example.com,Eco-friendly and customer-focused.
212,SavvyStyle 12,https://brand12.example.com,Leading brand in innovative products.
213,GlowUp Cosmetics 13,https://brand13.example.com,Driven by values and vision.
214,MoneyMindset 14,https://brand14.example.com,Your go-to brand for excellence.
